user,date,transaction_type,amount
f5abc955-889d-4a17-87b9-45b362eb673b,2020-10-30,DEBIT,64709
f5abc955-889d-4a17-87b9-45b362eb673b,2020-12-04,DEBIT,98089
f5abc955-889d-4a17-87b9-45b362eb673b,2020-07-07,DEBIT,88877
f5abc955-889d-4a17-87b9-45b362eb673b,2020-05-27,DEBIT,17735
f5abc955-889d-4a17-87b9-45b362eb673b,2020-01-25,DEBIT,46503
f5abc955-889d-4a17-87b9-45b362eb673b,2020-02-21,CREDIT,5218
f5abc955-889d-4a17-87b9-45b362eb673b,2020-01-31,DEBIT,25130
f5abc955-889d-4a17-87b9-45b362eb673b,2020-10-02,DEBIT,26164
f5abc955-889d-4a17-87b9-45b362eb673b,2020-03-22,CREDIT,27038
f5abc955-889d-4a17-87b9-45b362eb673b,2020-04-16,DEBIT,24078
f5abc955-889d-4a17-87b9-45b362eb673b,2020-12-02,DEBIT,45952
f5abc955-889d-4a17-87b9-45b362eb673b,2020-03-06,DEBIT,83886
f5abc955-889d-4a17-87b9-45b362eb673b,2020-12-31,CREDIT,38686
f5abc955-889d-4a17-87b9-45b362eb673b,2020-11-03,DEBIT,92131
f5abc955-889d-4a17-87b9-45b362eb673b,2020-07-01,CREDIT,67071
f5abc955-889d-4a17-87b9-45b362eb673b,2020-12-25,CREDIT,65981
f5abc955-889d-4a17-87b9-45b362eb673b,2020-06-01,DEBIT,8509
f5abc955-889d-4a17-87b9-45b362eb673b,2020-04-10,DEBIT,50479
f5abc955-889d-4a17-87b9-45b362eb673b,2020-11-11,DEBIT,15391
f5abc955-889d-4a17-87b9-45b362eb673b,2020-01-28,CREDIT,93614
f5abc955-889d-4a17-87b9-45b362eb673b,2020-01-05,DEBIT,20104
f5abc955-889d-4a17-87b9-45b362eb673b,2020-01-06,CREDIT,19360
f5abc955-889d-4a17-87b9-45b362eb673b,2020-02-04,DEBIT,75265
f5abc955-889d-4a17-87b9-45b362eb673b,2020-05-11,DEBIT,64206
f5abc955-889d-4a17-87b9-45b362eb673b,2020-09-27,CREDIT,10563
f5abc955-889d-4a17-87b9-45b362eb673b,2020-04-06,DEBIT,2321
f5abc955-889d-4a17-87b9-45b362eb673b,2020-05-28,DEBIT,44655
f5abc955-889d-4a17-87b9-45b362eb673b,2020-06-25,DEBIT,69136
f5abc955-889d-4a17-87b9-45b362eb673b,2020-08-30,DEBIT,1335
f5abc955-889d-4a17-87b9-45b362eb673b,2020-01-28,CREDIT,77913
f5abc955-889d-4a17-87b9-45b362eb673b,2020-06-17,CREDIT,12729
f5abc955-889d-4a17-87b9-45b362eb673b,2020-02-20,CREDIT,88408
f5abc955-889d-4a17-87b9-45b362eb673b,2020-01-27,CREDIT,59309
f5abc955-889d-4a17-87b9-45b362eb673b,2020-07-08,CREDIT,2458
f5abc955-889d-4a17-87b9-45b362eb673b,2020-11-08,DEBIT,16387
f5abc955-889d-4a17-87b9-45b362eb673b,2020-02-20,DEBIT,64972
f5abc955-889d-4a17-87b9-45b362eb673b,2020-11-06,DEBIT,80247
f5abc955-889d-4a17-87b9-45b362eb673b,2020-12-21,CREDIT,80601
f5abc955-889d-4a17-87b9-45b362eb673b,2020-02-08,DEBIT,43621
f5abc955-889d-4a17-87b9-45b362eb673b,2020-08-31,DEBIT,46155
f5abc955-889d-4a17-87b9-45b362eb673b,2020-07-24,CREDIT,83347
f5abc955-889d-4a17-87b9-45b362eb673b,2020-10-30,DEBIT,13801
f5abc955-889d-4a17-87b9-45b362eb673b,2020-04-23,CREDIT,80705
f5abc955-889d-4a17-87b9-45b362eb673b,2020-12-29,DEBIT,24683
f5abc955-889d-4a17-87b9-45b362eb673b,2020-04-08,DEBIT,48109
f5abc955-889d-4a17-87b9-45b362eb673b,2020-11-04,CREDIT,93590
f5abc955-889d-4a17-87b9-45b362eb673b,2020-06-08,DEBIT,81355
f5abc955-889d-4a17-87b9-45b362eb673b,2020-03-10,CREDIT,33894
f5abc955-889d-4a17-87b9-45b362eb673b,2020-04-17,DEBIT,47633
f5abc955-889d-4a17-87b9-45b362eb673b,2020-06-23,CREDIT,114
b7fa4071-5883-4ac6-830e-4bb5a4cd7826,2020-02-01,DEBIT,90768
b7fa4071-5883-4ac6-830e-4bb5a4cd7826,2020-02-20,DEBIT,22
b7fa4071-5883-4ac6-830e-4bb5a4cd7826,2020-10-04,DEBIT,73296
b7fa4071-5883-4ac6-830e-4bb5a4cd7826,2020-02-12,DEBIT,81655
b7fa4071-5883-4ac6-830e-4bb5a4cd7826,2020-07-15,CREDIT,24106
b7fa4071-5883-4ac6-830e-4bb5a4cd7826,2020-11-06,CREDIT,77527
b7fa4071-5883-4ac6-830e-4bb5a4cd7826,2020-10-15,CREDIT,72272
b7fa4071-5883-4ac6-830e-4bb5a4cd7826,2020-05-16,CREDIT,89498
b7fa4071-5883-4ac6-830e-4bb5a4cd7826,2020-12-01,CREDIT,25811
b7fa4071-5883-4ac6-830e-4bb5a4cd7826,2020-09-08,CREDIT,11740
b7fa4071-5883-4ac6-830e-4bb5a4cd7826,2020-09-12,DEBIT,44835
b7fa4071-5883-4ac6-830e-4bb5a4cd7826,2020-09-08,DEBIT,57544
b7fa4071-5883-4ac6-830e-4bb5a4cd7826,2020-05-22,DEBIT,8558
b7fa4071-5883-4ac6-830e-4bb5a4cd7826,2020-10-09,CREDIT,21818
b7fa4071-5883-4ac6-830e-4bb5a4cd7826,2020-06-03,DEBIT,27545
b7fa4071-5883-4ac6-830e-4bb5a4cd7826,2020-05-14,DEBIT,30120
b7fa4071-5883-4ac6-830e-4bb5a4cd7826,2020-07-09,CREDIT,93011
bb1b5797-6946-4a40-a0e6-3c02790ecf08,2020-02-14,CREDIT,81129
bb1b5797-6946-4a40-a0e6-3c02790ecf08,2020-01-04,CREDIT,36561
bb1b5797-6946-4a40-a0e6-3c02790ecf08,2020-06-10,DEBIT,97350
bb1b5797-6946-4a40-a0e6-3c02790ecf08,2020-08-23,CREDIT,60233
bb1b5797-6946-4a40-a0e6-3c02790ecf08,2020-12-08,DEBIT,36794
bb1b5797-6946-4a40-a0e6-3c02790ecf08,2020-05-26,DEBIT,57197
bb1b5797-6946-4a40-a0e6-3c02790ecf08,2020-10-30,DEBIT,92415
bb1b5797-6946-4a40-a0e6-3c02790ecf08,2020-01-17,DEBIT,37623
bb1b5797-6946-4a40-a0e6-3c02790ecf08,2020-03-04,CREDIT,76348
bb1b5797-6946-4a40-a0e6-3c02790ecf08,2020-03-16,DEBIT,26632
bb1b5797-6946-4a40-a0e6-3c02790ecf08,2020-12-21,DEBIT,83110
bb1b5797-6946-4a40-a0e6-3c02790ecf08,2020-08-29,DEBIT,65235
bb1b5797-6946-4a40-a0e6-3c02790ecf08,2020-08-12,DEBIT,68672
bb1b5797-6946-4a40-a0e6-3c02790ecf08,2020-02-22,DEBIT,73838
bb1b5797-6946-4a40-a0e6-3c02790ecf08,2020-06-29,CREDIT,13051
bb1b5797-6946-4a40-a0e6-3c02790ecf08,2020-02-05,DEBIT,49313
bb1b5797-6946-4a40-a0e6-3c02790ecf08,2020-09-20,DEBIT,50468
bb1b5797-6946-4a40-a0e6-3c02790ecf08,2020-12-04,DEBIT,36959
bb1b5797-6946-4a40-a0e6-3c02790ecf08,2020-07-27,CREDIT,53861
bb1b5797-6946-4a40-a0e6-3c02790ecf08,2020-09-28,CREDIT,22040
bb1b5797-6946-4a40-a0e6-3c02790ecf08,2020-04-18,DEBIT,43526
bb1b5797-6946-4a40-a0e6-3c02790ecf08,2020-05-11,CREDIT,49598
bb1b5797-6946-4a40-a0e6-3c02790ecf08,2020-05-31,CREDIT,70312
bb1b5797-6946-4a40-a0e6-3c02790ecf08,2020-04-11,DEBIT,74826
bb1b5797-6946-4a40-a0e6-3c02790ecf08,2020-07-02,CREDIT,63983
bb1b5797-6946-4a40-a0e6-3c02790ecf08,2020-11-09,CREDIT,84951
bb1b5797-6946-4a40-a0e6-3c02790ecf08,2020-06-30,DEBIT,38883
bfc8b33d-6e34-406b-8720-ba10ec874b64,2020-11-19,DEBIT,42071
bfc8b33d-6e34-406b-8720-ba10ec874b64,2020-05-28,CREDIT,66550
bfc8b33d-6e34-406b-8720-ba10ec874b64,2020-09-15,DEBIT,41101
bfc8b33d-6e34-406b-8720-ba10ec874b64,2020-10-07,CREDIT,99375
bfc8b33d-6e34-406b-8720-ba10ec874b64,2020-08-30,DEBIT,73004
8bac0a2d-f31a-4fc4-a5d2-2e86b379915b,2020-08-02,DEBIT,41063
8bac0a2d-f31a-4fc4-a5d2-2e86b379915b,2020-05-17,CREDIT,43746
8bac0a2d-f31a-4fc4-a5d2-2e86b379915b,2020-08-31,DEBIT,90146
8bac0a2d-f31a-4fc4-a5d2-2e86b379915b,2020-07-28,CREDIT,53750
8bac0a2d-f31a-4fc4-a5d2-2e86b379915b,2020-06-11,DEBIT,81312
8bac0a2d-f31a-4fc4-a5d2-2e86b379915b,2020-03-28,DEBIT,86295
8bac0a2d-f31a-4fc4-a5d2-2e86b379915b,2020-06-13,DEBIT,78542
8bac0a2d-f31a-4fc4-a5d2-2e86b379915b,2020-04-23,CREDIT,91204
8bac0a2d-f31a-4fc4-a5d2-2e86b379915b,2020-08-16,DEBIT,82804
8bac0a2d-f31a-4fc4-a5d2-2e86b379915b,2020-10-02,DEBIT,84740
8bac0a2d-f31a-4fc4-a5d2-2e86b379915b,2020-01-18,CREDIT,13543
8bac0a2d-f31a-4fc4-a5d2-2e86b379915b,2020-08-02,CREDIT,82871
8bac0a2d-f31a-4fc4-a5d2-2e86b379915b,2020-08-21,DEBIT,89024
8bac0a2d-f31a-4fc4-a5d2-2e86b379915b,2020-05-31,DEBIT,4795
8bac0a2d-f31a-4fc4-a5d2-2e86b379915b,2020-03-24,DEBIT,56865
8bac0a2d-f31a-4fc4-a5d2-2e86b379915b,2020-09-03,CREDIT,39459
8bac0a2d-f31a-4fc4-a5d2-2e86b379915b,2020-04-10,CREDIT,29975
8bac0a2d-f31a-4fc4-a5d2-2e86b379915b,2020-01-30,CREDIT,24764
8bac0a2d-f31a-4fc4-a5d2-2e86b379915b,2020-03-05,CREDIT,76037
8bac0a2d-f31a-4fc4-a5d2-2e86b379915b,2020-08-04,CREDIT,93119
8bac0a2d-f31a-4fc4-a5d2-2e86b379915b,2020-07-14,CREDIT,23483
8bac0a2d-f31a-4fc4-a5d2-2e86b379915b,2020-11-01,CREDIT,45531
8bac0a2d-f31a-4fc4-a5d2-2e86b379915b,2020-04-28,DEBIT,5711
8bac0a2d-f31a-4fc4-a5d2-2e86b379915b,2020-01-03,DEBIT,55788
8bac0a2d-f31a-4fc4-a5d2-2e86b379915b,2020-02-02,DEBIT,49184
58f0f395-35af-49fa-b107-e331d1cf0837,2020-01-22,CREDIT,64382
58f0f395-35af-49fa-b107-e331d1cf0837,2020-02-14,DEBIT,92773
58f0f395-35af-49fa-b107-e331d1cf0837,2020-01-26,DEBIT,90315
58f0f395-35af-49fa-b107-e331d1cf0837,2020-02-02,DEBIT,97461
58f0f395-35af-49fa-b107-e331d1cf0837,2020-09-18,CREDIT,26319
a8fa434d-9532-4675-9deb-d8538a4f0089,2020-09-22,DEBIT,10659
a8fa434d-9532-4675-9deb-d8538a4f0089,2020-12-14,CREDIT,77048
a8fa434d-9532-4675-9deb-d8538a4f0089,2020-12-12,DEBIT,33690
a8fa434d-9532-4675-9deb-d8538a4f0089,2020-04-22,DEBIT,87057
a8fa434d-9532-4675-9deb-d8538a4f0089,2020-03-12,CREDIT,13143
a8fa434d-9532-4675-9deb-d8538a4f0089,2020-01-14,CREDIT,5966
a8fa434d-9532-4675-9deb-d8538a4f0089,2020-02-29,DEBIT,65404
a8fa434d-9532-4675-9deb-d8538a4f0089,2020-03-26,DEBIT,96381
a8fa434d-9532-4675-9deb-d8538a4f0089,2020-09-13,CREDIT,95702
a8fa434d-9532-4675-9deb-d8538a4f0089,2020-01-27,CREDIT,70108
af2ffb0c-6837-47dd-88df-e7b9f8285fc9,2020-06-29,CREDIT,51122
af2ffb0c-6837-47dd-88df-e7b9f8285fc9,2020-12-31,CREDIT,80608
8e9d63cd-ce72-48e7-9082-67164ec83468,2020-02-06,DEBIT,40348
8e9d63cd-ce72-48e7-9082-67164ec83468,2020-08-29,DEBIT,24562
8e9d63cd-ce72-48e7-9082-67164ec83468,2020-07-29,CREDIT,87046
8e9d63cd-ce72-48e7-9082-67164ec83468,2020-10-08,DEBIT,34739
